Date,Date_Time,Num_Coins,Reported_Hash,Calculated_Hash,Diff
2021-12-06,13:13:55.490063,863583.3665206,31,58,735.3830403500469
2021-12-06,13:29:06.189951,864019.20102758,31,15,435.83450697991066
2021-12-06,14:01:56.154632,864853.43131933,31,15,834.2302917500492
2021-12-06,20:03:57.346904,865611.6227074,30,0,758.1913880700013
2021-12-06,20:19:09.313508,865611.6227074,31,10,0.0
2021-12-06,20:34:20.426089,866039.791552,31,29,428.1688445999753
2021-12-06,20:49:31.562237,866388.41176918,30,29,348.620217179996
2021-12-06,21:04:42.978198,867255.77338452,31,39,867.3616153399926
2021-12-06,21:19:53.323661,867648.90648899,30,39,393.1331044699764
2021-12-06,21:35:03.596291,867919.76627866,29,10,270.8597896700958
2021-12-06,21:50:14.771036,868015.856562,30,24,96.09028333995956
2021-12-06,22:05:25.292072,868597.08251208,29,24,581.2259500799701
2021-12-06,22:20:35.559766,869247.91476947,30,19,650.8322573900223
2021-12-06,22:35:45.965772,870230.00873962,30,39,982.0939701499884
2021-12-06,22:50:56.352212,871157.36091508,30,44,927.3521754599642
2021-12-06,23:06:06.839490,872237.04942769,30,29,1079.6885126100387
2021-12-06,23:21:17.177564,873127.15731733,31,29,890.1078896400286
2021-12-07,04:44:49.064611,873715.75990582,30,0,588.6025884900009
2021-12-07,04:59:59.818625,873715.75990582,29,29,0.0
2021-12-07,05:15:10.975578,873746.92837366,30,15,31.16846783994697
2021-12-07,05:30:21.486102,873844.8366422,30,15,97.9082685400499
2021-12-07,05:45:32.403393,874220.9030153,30,24,376.0663731000386
2021-12-07,06:00:42.986464,874526.02388377,30,29,305.1208684699377
2021-12-07,06:15:53.503859,875022.85169692,30,24,496.82781315001193
2021-12-07,06:31:03.942299,875801.38853479,31,34,778.5368378700223
2021-12-07,06:46:14.813940,876378.64581416,30,29,577.2572793699801
2021-12-07,07:01:25.309442,877236.97409096,29,34,858.3282767999917
2021-12-07,07:16:35.924098,877494.35710464,30,34,257.3830136799952
